Week_Ending	NSW	QLD	VIC	SA	ACT	WA	TAS
06-Jan-13	366227.43	416957.77	349396.32	408244.83	263187.82	246398.51	
13-Jan-13	297538.73	362928.32	284400.21	333373.23	232546.31	201166.51	
20-Jan-13	308088.39	366371.94	310157.93	353554.83	254922.53	216339.66	
27-Jan-13	379110.23	408064.34	363861.48	460895.81	296803.92	289457.94	
03-Feb-13	286697.65	347162.07	292747.33	317580.7	245122.45	218195.62	
10-Feb-13	323800.71	361184.42	346288.3	405306.1	273264.24	419775.05	
17-Feb-13	319850.06	353124.65	336128.39	387225.75	271863.01	415680.99	
24-Feb-13	301020.98	346930.44	322933.97	365927.3	243665.93	395910.72	
03-Mar-13	302351.51	343974.46	321114.96	354613.29	260181.87	450416.6	
10-Mar-13	327258.25	363861.24	380761.9	435199.49	289105.46	394807.5	
17-Mar-13	332797.12	379813.69	325282.51	380429.53	282334.81	407837.98	
24-Mar-13	322868.85	373915.59	329226.52	380527.76	266130.99	405645.45	
31-Mar-13	395121.05	503494.03	362796.4	486538.28	291533.68	499483.15	
07-Apr-13	298335.41	353266.99	277201.56	329128.88	243033.67	361829.31	
14-Apr-13	314155.97	360401.15	305553.01	372664.48	258038.38	385771.31	
21-Apr-13	306657.72	371319.92	295741.6	351057.33	252139.5	385164.8	
28-Apr-13	331051.87	397975.41	313586.84	356159.47	271552.04	405474.06	
05-May-13	327032.09	380015	321687.61	370466.62	275342.05	387783.31	
12-May-13	317070.75	366516.99	299611.96	370758.25	257890.24	380280.01	
19-May-13	310585.71	366864.61	299874.28	358588.29	274895.32	389106.25	
26-May-13	303296.12	361111.09	292134.9	341326.81	258739.34	376499.64	
02-Jun-13	284176.59	349557.34	273808.6	314458.22	243324.93	384579.72	
09-Jun-13	320686.05	374309.61	318377.12	374273.87	263891.75	364436.55	
16-Jun-13	318615.99	372371.06	316967.15	372729.74	263923.75	369801.91	
23-Jun-13	319574.05	372800.27	318447.47	374518.67	265349.99	377467.16	
30-Jun-13	320096.12	373092.47	318824.27	375471.57	265823.97	384791.14	
