,Cars,Motorbikes,Buses,Trucks,Vans,Pedestrians & cyclists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2020,294869,506,19937,22675,49062,53723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2020,298931,476,19190,21816,47378,46753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2020,308105,567,20138,21551,46784,55337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/2020,310406,487,17834,13936,30738,48150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2020,282430,447,14898,9937,23126,38965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/2020,266086,482,18316,19819,43266,42650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2020,277047,583,20279,21584,47353,50357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2020,272854,647,20390,21977,46659,51158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2020,264352,493,20185,22718,45711,40545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2020,268680,608,19701,19507,43021,44436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020,227957,586,16381,11673,24314,34981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2020,176954,447,12351,7952,14858,23608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2020,201846,483,15859,16446,34903,27792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/2020,164672,517,15855,14757,29404,24859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2020,156209,491,15507,13880,27615,24506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2020,235662,717,15740,15639,36605,33772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2020,211031,807,17340,15063,32562,34295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2020,149724,650,16181,9982,18302,30116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2020,134309,547,13576,8382,13897,22222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2020,172925,577,16399,13509,28480,29858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2020,172088,710,15598,13102,28704,31197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2020,147062,612,15640,12159,26020,29806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2020,158517,691,15783,12273,26991,30314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2020,164806,718,15638,12340,27274,33538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2020,127764,616,12782,8185,14953,26545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2020,107035,498,11432,6473,9979,21082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2020,158981,645,14949,12510,26905,28098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2020,150259,567,13626,11999,25673,26337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2020,160243,707,14605,12859,27562,31691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2020,164004,625,13687,12597,27241,28218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2020,131490,627,12109,8353,16226,26001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2020,129562,688,12856,7802,14199,28884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2020,107159,652,12295,5654,9329,24349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020,118977,521,12522,7650,13123,23097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2020,157545,518,13440,12100,26583,25429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2020,152963,553,12963,12128,26303,25279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2020,160687,782,13960,12493,28013,30129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2020,173258,756,14223,12754,28878,29422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2020,139908,777,13894,8313,17236,34272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2020,117066,538,11223,6659,10388,23259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2020,159757,540,12560,12111,26194,23989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2020,162247,557,12387,12344,27022,24589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2020,164780,573,12663,12525,27053,24691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2020,170569,699,12992,12594,27930,27035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2020,180673,702,13111,12793,29024,29199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2020,147462,675,12364,8385,17027,28914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2020,126399,582,11219,6482,11126,26133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2020,177835,741,14362,13223,31266,33849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2020,154482,362,13721,14037,28318,15662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2020,177688,613,14105,13614,31609,28614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2020,179466,539,13951,13747,31757,23832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2020,201139,711,14009,13472,31957,30368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2020,169267,763,12692,8258,18197,35390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2020,138644,772,12981,6539,13356,33295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2020,189969,647,13711,13627,31682,31753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2020,184069,595,13225,13960,31629,27101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2020,179915,560,12926,13576,30406,26505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2020,198363,685,13415,14263,32703,31145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2020,169550,815,11942,8972,19344,33347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2020,166356,772,11826,8102,17255,32064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2020,148611,703,12676,6916,14116,28462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2020,204002,697,14362,14587,35104,31441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2020,198973,713,13703,14599,34290,33292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2020,212058,736,14652,15440,37651,35270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2020,204810,652,13636,14929,34966,31226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2020,219096,801,13149,14711,34615,33203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2020,205809,921,13510,9078,22781,41456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2020,182441,769,11910,7099,15726,35556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2020,203942,685,13487,14595,34750,30645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2020,207368,684,13181,15081,35408,28467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2020,210263,640,13230,15131,34968,27282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
